1.00,0.35,0.42,0.25,0.40,0.16,0.30,0.42,0.41,0.32,0.29,0.58,0.41,0.27
0.35,1.00,0.55,0.48,0.38,0.10,0.24,0.40,0.44,0.20,0.18,0.30,0.29,0.41
0.42,0.55,1.00,0.40,0.45,0.27,0.35,0.47,0.56,0.26,0.19,0.42,0.36,0.49
0.25,0.48,0.40,1.00,0.29,0.10,0.24,0.30,0.34,0.25,0.14,0.25,0.20,0.36
0.40,0.38,0.45,0.29,1.00,0.10,0.24,0.40,0.39,0.10,0.18,0.35,0.24,0.26
0.16,0.10,0.27,0.10,0.10,1.00,0.26,0.11,0.21,0.22,0.10,0.16,0.21,0.22
0.30,0.24,0.35,0.24,0.24,0.26,1.00,0.25,0.34,0.25,0.18,0.30,0.34,0.31
0.42,0.40,0.47,0.30,0.40,0.11,0.25,1.00,0.62,0.16,0.29,0.42,0.26,0.27
0.41,0.44,0.56,0.34,0.39,0.21,0.34,0.62,1.00,0.36,0.19,0.41,0.35,0.37
0.32,0.20,0.26,0.25,0.10,0.22,0.25,0.16,0.36,1.00,0.10,0.21,0.31,0.22
0.29,0.18,0.19,0.14,0.18,0.10,0.18,0.29,0.19,0.10,1.00,0.29,0.23,0.15
0.58,0.30,0.42,0.25,0.35,0.16,0.30,0.42,0.41,0.21,0.29,1.00,0.41,0.27
0.41,0.29,0.36,0.20,0.24,0.21,0.34,0.26,0.35,0.31,0.23,0.41,1.00,0.32
0.27,0.41,0.49,0.36,0.26,0.22,0.31,0.27,0.37,0.22,0.15,0.27,0.32,1.00
